,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
3559,"RT @Artbybenhigbie: #artforsale #acrylicpainting Available, $68, shipping incl. #artlovers #yoga #yogaday #yogaday2017 #peace #tranquility…",FALSE,0,NA,6/21/2017 12:35,FALSE,NA,8.80404E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",anoaka1,1,TRUE,FALSE,NA,NA
3560,RT @IshaUSA: Yoga mats spread across the world on #YogaDay #IDY2017 https://t.co/eavexv880K,FALSE,0,NA,6/21/2017 12:34,FALSE,NA,8.80404E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalamanisha,77,TRUE,FALSE,NA,NA
3561,"RT @IndianDiplomacy: Europe twists &amp; turns for #Yoga
Snippets of #IDY2017 from across the European continent https://t.co/QDMyQciVft",FALSE,0,NA,6/21/2017 12:34,FALSE,NA,8.80404E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cprd_india,21,TRUE,FALSE,NA,NA
3562,RT @soundsofisha: Happy #InternationalYogaDay and #WorldMusicDay ! Enjoy Madhyamavati. @ishafoundation listen full here https://t.co/92xI9N…,FALSE,0,NA,6/21/2017 12:33,FALSE,NA,8.80404E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kalamanisha,31,TRUE,FALSE,NA,NA
3563,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 12:33,FALSE,NA,8.80404E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PARAMJI06516065,31884,TRUE,FALSE,NA,NA
3564,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 12:31,FALSE,NA,8.80403E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Daljitmailcom1,31884,TRUE,FALSE,NA,NA
3565,"RT @ArtofLivingYoga: #IDYwithArtofLiving , #IDY2017 Celebrations in Israel @indemtel https://t.co/cPskpY44oP",FALSE,0,NA,6/21/2017 12:26,FALSE,NA,8.80402E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",7pranayama,72,TRUE,FALSE,NA,NA
3566,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 12:26,FALSE,NA,8.80402E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",c11963df03cd4ac,31884,TRUE,FALSE,NA,NA
3567,"RT @iKalpanaaS: Whole world is celebrating Yoga to enjoy health, wealth and prosperity
 #InternationalYogaDay. https://t.co/4dbqU6L5es",FALSE,0,NA,6/21/2017 12:25,FALSE,NA,8.80402E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Shivani6794,12,TRUE,FALSE,NA,NA
3568,"RT @davidlintonbon: Come out of your comfort zone, enter the wilderness of nature &amp; be truly inspired!! #ThursdayThoughts #YogaDay https://…",FALSE,0,NA,6/21/2017 12:24,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",JudithThomson14,1,TRUE,FALSE,NA,NA
